product,mode,imp,edge,z,total,day_2,day_3,day_4
GALAXY_SOUNDS_BLACK_HOLES,static,0,0.0,0.25,16880.0,19620.0,10545.0,-13285.0
GALAXY_SOUNDS_BLACK_HOLES,static,0,0.0,0.5,9140.0,14405.0,8020.0,-13285.0
GALAXY_SOUNDS_BLACK_HOLES,static,0,0.0,0.75,16746.0,14405.0,14996.0,-12655.0
GALAXY_SOUNDS_BLACK_HOLES,static,0,0.0,1.0,4320.0,14405.0,0.0,-10085.0
GALAXY_SOUNDS_BLACK_HOLES,static,0,0.0,1.5,8886.0,14405.0,0.0,-5519.0
GALAXY_SOUNDS_BLACK_HOLES,static,0,0.0,2.0,-665.0,0.0,0.0,-665.0
GALAXY_SOUNDS_BLACK_HOLES,static,0,0.0,3.0,0.0,0.0,0.0,0.0
GALAXY_SOUNDS_BLACK_HOLES,static,0,2.0,0.25,16880.0,19620.0,10545.0,-13285.0
GALAXY_SOUNDS_BLACK_HOLES,static,0,2.0,0.5,9140.0,14405.0,8020.0,-13285.0
GALAXY_SOUNDS_BLACK_HOLES,static,0,2.0,0.75,16746.0,14405.0,14996.0,-12655.0
GALAXY_SOUNDS_BLACK_HOLES,static,0,2.0,1.0,4320.0,14405.0,0.0,-10085.0
GALAXY_SOUNDS_BLACK_HOLES,static,0,2.0,1.5,8886.0,14405.0,0.0,-5519.0
GALAXY_SOUNDS_BLACK_HOLES,static,0,2.0,2.0,-665.0,0.0,0.0,-665.0
GALAXY_SOUNDS_BLACK_HOLES,static,0,2.0,3.0,0.0,0.0,0.0,0.0
GALAXY_SOUNDS_BLACK_HOLES,static,0,6.0,0.25,16880.0,19620.0,10545.0,-13285.0
GALAXY_SOUNDS_BLACK_HOLES,static,0,6.0,0.5,9140.0,14405.0,8020.0,-13285.0
GALAXY_SOUNDS_BLACK_HOLES,static,0,6.0,0.75,16746.0,14405.0,14996.0,-12655.0
GALAXY_SOUNDS_BLACK_HOLES,static,0,6.0,1.0,4320.0,14405.0,0.0,-10085.0
GALAXY_SOUNDS_BLACK_HOLES,static,0,6.0,1.5,8886.0,14405.0,0.0,-5519.0
GALAXY_SOUNDS_BLACK_HOLES,static,0,6.0,2.0,-665.0,0.0,0.0,-665.0
GALAXY_SOUNDS_BLACK_HOLES,static,0,6.0,3.0,0.0,0.0,0.0,0.0
GALAXY_SOUNDS_BLACK_HOLES,static,1,0.0,0.25,17874.0,21372.0,9787.0,-13285.0
GALAXY_SOUNDS_BLACK_HOLES,static,1,0.0,0.5,22027.0,20878.0,14434.0,-13285.0
GALAXY_SOUNDS_BLACK_HOLES,static,1,0.0,0.75,22009.0,20878.0,16353.0,-15222.0
GALAXY_SOUNDS_BLACK_HOLES,static,1,0.0,1.0,21897.0,20878.0,16241.0,-15222.0
GALAXY_SOUNDS_BLACK_HOLES,static,1,0.0,1.5,21897.0,20878.0,16241.0,-15222.0
GALAXY_SOUNDS_BLACK_HOLES,static,1,0.0,2.0,23971.0,22952.0,16241.0,-15222.0
GALAXY_SOUNDS_BLACK_HOLES,static,1,0.0,3.0,23971.0,22952.0,16241.0,-15222.0
GALAXY_SOUNDS_BLACK_HOLES,static,1,2.0,0.25,17874.0,21372.0,9787.0,-13285.0
GALAXY_SOUNDS_BLACK_HOLES,static,1,2.0,0.5,22027.0,20878.0,14434.0,-13285.0
GALAXY_SOUNDS_BLACK_HOLES,static,1,2.0,0.75,22009.0,20878.0,16353.0,-15222.0
GALAXY_SOUNDS_BLACK_HOLES,static,1,2.0,1.0,21897.0,20878.0,16241.0,-15222.0
GALAXY_SOUNDS_BLACK_HOLES,static,1,2.0,1.5,21897.0,20878.0,16241.0,-15222.0
GALAXY_SOUNDS_BLACK_HOLES,static,1,2.0,2.0,23971.0,22952.0,16241.0,-15222.0
GALAXY_SOUNDS_BLACK_HOLES,static,1,2.0,3.0,23971.0,22952.0,16241.0,-15222.0
GALAXY_SOUNDS_BLACK_HOLES,static,1,6.0,0.25,17874.0,21372.0,9787.0,-13285.0
GALAXY_SOUNDS_BLACK_HOLES,static,1,6.0,0.5,22027.0,20878.0,14434.0,-13285.0
GALAXY_SOUNDS_BLACK_HOLES,static,1,6.0,0.75,22009.0,20878.0,16353.0,-15222.0
GALAXY_SOUNDS_BLACK_HOLES,static,1,6.0,1.0,21897.0,20878.0,16241.0,-15222.0
GALAXY_SOUNDS_BLACK_HOLES,static,1,6.0,1.5,21897.0,20878.0,16241.0,-15222.0
GALAXY_SOUNDS_BLACK_HOLES,static,1,6.0,2.0,23971.0,22952.0,16241.0,-15222.0
GALAXY_SOUNDS_BLACK_HOLES,static,1,6.0,3.0,23971.0,22952.0,16241.0,-15222.0
GALAXY_SOUNDS_BLACK_HOLES,static,2,0.0,0.25,17801.0,21329.0,9757.0,-13285.0
GALAXY_SOUNDS_BLACK_HOLES,static,2,0.0,0.5,21908.0,20820.0,14373.0,-13285.0
GALAXY_SOUNDS_BLACK_HOLES,static,2,0.0,0.75,21857.0,20820.0,16269.0,-15232.0
GALAXY_SOUNDS_BLACK_HOLES,static,2,0.0,1.0,21745.0,20820.0,16157.0,-15232.0
GALAXY_SOUNDS_BLACK_HOLES,static,2,0.0,1.5,21745.0,20820.0,16157.0,-15232.0
GALAXY_SOUNDS_BLACK_HOLES,static,2,0.0,2.0,23809.0,22884.0,16157.0,-15232.0
GALAXY_SOUNDS_BLACK_HOLES,static,2,0.0,3.0,23809.0,22884.0,16157.0,-15232.0
GALAXY_SOUNDS_BLACK_HOLES,static,2,2.0,0.25,17801.0,21329.0,9757.0,-13285.0
GALAXY_SOUNDS_BLACK_HOLES,static,2,2.0,0.5,21908.0,20820.0,14373.0,-13285.0
GALAXY_SOUNDS_BLACK_HOLES,static,2,2.0,0.75,21857.0,20820.0,16269.0,-15232.0
GALAXY_SOUNDS_BLACK_HOLES,static,2,2.0,1.0,21745.0,20820.0,16157.0,-15232.0
GALAXY_SOUNDS_BLACK_HOLES,static,2,2.0,1.5,21745.0,20820.0,16157.0,-15232.0
GALAXY_SOUNDS_BLACK_HOLES,static,2,2.0,2.0,23809.0,22884.0,16157.0,-15232.0
GALAXY_SOUNDS_BLACK_HOLES,static,2,2.0,3.0,23809.0,22884.0,16157.0,-15232.0
GALAXY_SOUNDS_BLACK_HOLES,static,2,6.0,0.25,17801.0,21329.0,9757.0,-13285.0
GALAXY_SOUNDS_BLACK_HOLES,static,2,6.0,0.5,21908.0,20820.0,14373.0,-13285.0
GALAXY_SOUNDS_BLACK_HOLES,static,2,6.0,0.75,21857.0,20820.0,16269.0,-15232.0
