trader: leadlag_predictive_2day.py
dataset: round5
mode: fast
artifacts: metrics-only
bundle: runs/r5_leadlag_predictive_2day [flat multi-run output]
SET             DAY    TICKS  OWN_TRADES    FINAL_PNL  RUN_DIR
D+2               2    10000        1198    758336.50  runs/r5_leadlag_predictive_2day/round5-day+2-*
D+3               3    10000        1577   1031679.00  runs/r5_leadlag_predictive_2day/round5-day+3-*
D+4               4    10000        1381    688484.00  runs/r5_leadlag_predictive_2day/round5-day+4-*
TOTAL             -    30000        4156   2478499.50  -

PRODUCT                              D+2        D+3        D+4      TOTAL
GALAXY_SOUNDS_BLACK_HOLES       14658.50   14142.00   21124.00   49924.50
GALAXY_SOUNDS_DARK_MATTER       14473.00   31791.00   18118.00   64382.00
GALAXY_SOUNDS_PLANETARY_RINGS   13200.00   -1655.00   37537.00   49082.00
GALAXY_SOUNDS_SOLAR_FLAMES      25942.00   27554.00   20434.00   73930.00
GALAXY_SOUNDS_SOLAR_WINDS       18908.00   16270.00    7635.00   42813.00
MICROCHIP_CIRCLE                27668.00    9057.00    5613.00   42338.00
MICROCHIP_OVAL                  30006.00   34590.50   17527.00   82123.50
MICROCHIP_RECTANGLE              5750.00   22696.00   17988.00   46434.00
MICROCHIP_SQUARE                12468.00   43367.00   32737.00   88572.00
MICROCHIP_TRIANGLE               1031.00   15980.00   14886.50   31897.50
OXYGEN_SHAKE_CHOCOLATE          12416.00   15986.00   17908.00   46310.00
OXYGEN_SHAKE_EVENING_BREATH      1450.00   25572.00   24352.00   51374.00
OXYGEN_SHAKE_GARLIC             19232.00   30159.00   -4761.00   44630.00
OXYGEN_SHAKE_MINT               31847.00    4000.00   15805.00   51652.00
OXYGEN_SHAKE_MORNING_BREATH      1575.00   36050.00    3725.00   41350.00
PANEL_1X2                       31518.00    4425.00    8110.00   44053.00
PANEL_1X4                       -1640.00   28832.00    9225.00   36417.00
PANEL_2X2                           0.00   16422.00   10260.00   26682.00
PANEL_2X4                       27857.00   13927.00    4935.00   46719.00
PANEL_4X4                       25122.00   12467.00    7073.00   44662.00
PEBBLES_L                       43877.00   39042.00   12005.00   94924.00
PEBBLES_M                         746.00   22186.00   24721.00   47653.00
PEBBLES_S                       13525.00   18363.00   33973.00   65861.00
PEBBLES_XL                      68824.00   63683.00   -3290.00  129217.00
PEBBLES_XS                      19455.00   39811.00   24061.00   83327.00
ROBOT_DISHES                    10068.00   36978.00  -10374.00   36672.00
ROBOT_IRONING                    4860.00   20290.00    3679.00   28829.00
ROBOT_LAUNDRY                   -2546.00   10080.00     950.00    8484.00
ROBOT_MOPPING                   -1835.00   26603.00    7463.00   32231.00
ROBOT_VACUUMING                   326.00   14662.00       0.00   14988.00
SLEEP_POD_COTTON                11190.00   15009.00   20490.00   46689.00
SLEEP_POD_LAMB_WOOL             18390.00   31387.00   21109.00   70886.00
SLEEP_POD_NYLON                  1960.00    7298.50    4836.50   14095.00
SLEEP_POD_POLYESTER             17615.00   30609.00    9113.00   57337.00
SLEEP_POD_SUEDE                 10950.00   37249.00   18861.00   67060.00
SNACKPACK_CHOCOLATE             14130.00    9995.00    2500.00   26625.00
SNACKPACK_PISTACHIO             13626.00    5264.00    2639.00   21529.00
SNACKPACK_RASPBERRY             28785.00   14395.00   15985.00   59165.00
SNACKPACK_STRAWBERRY             4280.00   20670.00   13230.00   38180.00
SNACKPACK_VANILLA               16495.00    9586.00    6240.00   32321.00
TRANSLATOR_ASTRO_BLACK          -1590.00   16627.00   24351.00   39388.00
TRANSLATOR_ECLIPSE_CHARCOAL      8051.00   16074.00   26655.00   50780.00
TRANSLATOR_GRAPHITE_MIST        22948.00   21218.00   19195.00   63361.00
TRANSLATOR_SPACE_GRAY           13548.00   12311.00    4321.00   30180.00
TRANSLATOR_VOID_BLUE            14490.00   26576.00   19470.00   60536.00
UV_VISOR_AMBER                  14935.00   11030.00   24436.00   50401.00
UV_VISOR_MAGENTA                12935.00   27274.00   35234.00   75443.00
UV_VISOR_ORANGE                  7345.00    8575.00   16594.00   32514.00
UV_VISOR_RED                    39387.00   17201.00   -7055.00   49533.00
UV_VISOR_YELLOW                 18085.00       0.00   26860.00   44945.00
